Time,Position,theta,Force
0.358,-0.238047,1.23984,0
0.359,-0.238698,1.2436,0
0.36,-0.239343,1.24737,0
0.361,-0.239982,1.25114,0
0.362,-0.240616,1.25493,0
0.363,-0.241244,1.25872,0
0.364,-0.241866,1.26253,0
0.365,-0.242482,1.26634,0
0.366,-0.243093,1.27017,0
0.367,-0.243697,1.274,0
0.368,-0.244296,1.27784,0
0.369,-0.244888,1.28169,0
0.37,-0.245474,1.28555,0
0.371,-0.246054,1.28942,0
0.372,-0.246628,1.2933,0
0.373,-0.247196,1.29719,0
0.374,-0.247757,1.30109,0
0.375,-0.248311,1.305,0
0.376,-0.248859,1.30892,0
0.377,-0.249401,1.31285,0
0.378,-0.249936,1.31678,0
0.379,-0.250464,1.32073,0
0.38,-0.250985,1.32469,0
0.381,-0.2515,1.32865,0
0.382,-0.252007,1.33263,0
0.383,-0.252508,1.33661,0
0.384,-0.253001,1.34061,0
0.385,-0.253488,1.34461,0
0.386,-0.253967,1.34863,0
0.387,-0.254439,1.35265,0
0.388,-0.254904,1.35669,0
0.389,-0.255362,1.36073,0
0.39,-0.255812,1.36479,0
0.391,-0.256254,1.36885,0
0.392,-0.256689,1.37293,0
0.393,-0.257116,1.37701,0
0.394,-0.257536,1.38111,0
0.395,-0.257948,1.38521,0
0.396,-0.258352,1.38933,0
0.397,-0.258748,1.39345,0
0.398,-0.259136,1.39759,0
0.399,-0.259516,1.40173,0
0.4,-0.259888,1.40589,0
0.401,-0.260252,1.41005,0
0.402,-0.260608,1.41423,0
0.403,-0.260955,1.41841,0
0.404,-0.261294,1.42261,0
0.405,-0.261624,1.42682,0
0.406,-0.261946,1.43104,0
0.407,-0.262259,1.43526,0
0.408,-0.262564,1.4395,0
0.409,-0.262859,1.44375,0
0.41,-0.263146,1.44801,0
0.411,-0.263424,1.45228,0
0.412,-0.263693,1.45657,0
0.413,-0.263953,1.46086,0
0.414,-0.264204,1.46516,0
0.415,-0.264446,1.46947,0
0.416,-0.264678,1.4738,0
0.417,-0.264901,1.47813,0
0.418,-0.265115,1.48248,0
0.419,-0.265319,1.48684,0
0.42,-0.265513,1.49121,0
0.421,-0.265698,1.49559,0
0.422,-0.265873,1.49998,0
0.423,-0.266038,1.50438,0
0.424,-0.266193,1.50879,0
0.425,-0.266338,1.51322,0
0.426,-0.266473,1.51765,0
0.427,-0.266598,1.5221,0
0.428,-0.266713,1.52656,0
0.429,-0.266818,1.53103,0
0.43,-0.266912,1.53551,0
0.431,-0.266995,1.54001,0
0.432,-0.267068,1.54451,0
0.433,-0.267131,1.54903,0
0.434,-0.267182,1.55356,0
0.435,-0.267223,1.5581,0
0.436,-0.267253,1.56265,0
0.437,-0.267272,1.56722,0
0.438,-0.267279,1.5718,0
0.439,-0.267276,1.57638,0
0.44,-0.267261,1.58099,0
0.441,-0.267235,1.5856,0
0.442,-0.267198,1.59022,0
0.443,-0.267149,1.59486,0
0.444,-0.267088,1.59951,0
0.445,-0.267015,1.60418,0
0.446,-0.266931,1.60885,0
0.447,-0.266835,1.61354,0
0.448,-0.266727,1.61824,0
0.449,-0.266607,1.62296,0
0.45,-0.266474,1.62768,0
0.451,-0.26633,1.63242,0
0.452,-0.266173,1.63717,0
0.453,-0.266003,1.64194,0
0.454,-0.265821,1.64672,0
0.455,-0.265626,1.65151,0
0.456,-0.265418,1.65632,0
0.457,-0.265198,1.66114,0
0.458,-0.264964,1.66597,0
0.459,-0.264718,1.67081,0
0.46,-0.264458,1.67567,0
0.461,-0.264185,1.68055,0
0.462,-0.263899,1.68544,0
0.463,-0.263599,1.69034,0
0.464,-0.263285,1.69525,0
0.465,-0.262958,1.70018,0
0.466,-0.262617,1.70513,0
0.467,-0.262261,1.71008,0
0.468,-0.261892,1.71506,0
0.469,-0.261509,1.72004,0
0.47,-0.261112,1.72504,0
0.471,-0.2607,1.73006,0
0.472,-0.260273,1.73509,0
0.473,-0.259832,1.74014,0
0.474,-0.259376,1.7452,0
0.475,-0.258906,1.75027,0
0.476,-0.25842,1.75536,0
0.477,-0.257919,1.76047,0
0.478,-0.257404,1.76559,0
0.479,-0.256872,1.77073,0
0.48,-0.256326,1.77588,0
0.481,-0.255763,1.78105,0
0.482,-0.255185,1.78624,0
0.483,-0.254592,1.79144,0
0.484,-0.253982,1.79665,0
0.485,-0.253356,1.80189,0
0.486,-0.252714,1.80714,0
0.487,-0.252056,1.8124,0
0.488,-0.251381,1.81768,0
0.489,-0.250689,1.82298,0
0.49,-0.249981,1.8283,0
0.491,-0.249256,1.83363,0
0.492,-0.248514,1.83898,0
0.493,-0.247754,1.84435,0
0.494,-0.246978,1.84974,0
0.495,-0.246184,1.85514,0
0.496,-0.245372,1.86056,0
0.497,-0.244543,1.866,0
0.498,-0.243695,1.87145,0
0.499,-0.24283,1.87693,0
0.5,-0.241947,1.88242,0
0.501,-0.241045,1.88793,0
0.502,-0.240124,1.89346,0
0.503,-0.239185,1.89901,0
0.504,-0.238228,1.90458,0
0.505,-0.237251,1.91016,0
0.506,-0.236255,1.91577,0
0.507,-0.23524,1.92139,0
0.508,-0.234206,1.92704,0
0.509,-0.233151,1.9327,0
0.51,-0.232077,1.93839,0
0.511,-0.230984,1.94409,0
0.512,-0.22987,1.94982,0
0.513,-0.228735,1.95556,0
0.514,-0.227581,1.96133,0
0.515,-0.226405,1.96712,0
0.516,-0.225209,1.97292,0
0.517,-0.223992,1.97875,0
0.518,-0.222754,1.9846,0
0.519,-0.221494,1.99048,0
0.52,-0.220213,1.99637,0
0.521,-0.21891,2.00229,0
0.522,-0.217585,2.00823,0
0.523,-0.216238,2.01419,0
0.524,-0.214868,2.02017,0
0.525,-0.213476,2.02618,0
0.526,-0.212061,2.03221,0
0.527,-0.210624,2.03826,0
0.528,-0.209163,2.04434,0
0.529,-0.207679,2.05044,0
0.53,-0.206171,2.05657,0
0.531,-0.20464,2.06272,0
0.532,-0.203085,2.06889,0
0.533,-0.201505,2.07509,0
0.534,-0.199901,2.08132,0
0.535,-0.198272,2.08757,0
0.536,-0.196619,2.09384,0
0.537,-0.19494,2.10014,0
0.538,-0.193236,2.10647,0
0.539,-0.191506,2.11283,0
0.54,-0.189751,2.11921,0
0.541,-0.187969,2.12562,0
0.542,-0.186161,2.13205,0
0.543,-0.184327,2.13852,0
0.544,-0.182466,2.14501,0
0.545,-0.180577,2.15153,0
0.546,-0.178662,2.15808,0
0.547,-0.176719,2.16465,0
0.548,-0.174747,2.17126,0
0.549,-0.172748,2.1779,0
